From,Sent,X-Received,Received_1,Received_2,Received_3,Received_4,Received_5,Sent_time_and_timezone,X-Received_time_and_timezone,Received_1_time_and_timezone,Received_2_time_and_timezone,Received_3_time_and_timezone,Received_4_time_and_timezone,Sent_sa,X-Received_sa,Received_1_sa,Received_2_sa,Received_3_sa,Received_4_sa
TradingView <noreply@tradingview.com>,"Thu, 24 Aug 2023 12:43:56 +0000","Thu, 24 Aug 2023 05:43:57 -0700","Thu, 24 Aug 2023 05:43:57 -0700","Thu, 24 Aug 2023 05:43:57 -0700",,,,12:43:56 +0000,05:43:57 -0700,05:43:57 -0700,05:43:57 -0700,,,14:35:56,14:35:57,14:35:57,14:35:57,,
TradingView <noreply@tradingview.com>,"Thu, 12 Oct 2023 15:10:32 +0000","Thu, 12 Oct 2023 08:10:32 -0700","Thu, 12 Oct 2023 08:10:33 -0700","Thu, 12 Oct 2023 08:10:32 -0700",,,,15:10:32 +0000,08:10:32 -0700,08:10:33 -0700,08:10:32 -0700,,,17:02:32,17:02:32,17:02:33,17:02:32,,
TradingView <noreply@tradingview.com>,"Thu, 12 Oct 2023 15:14:01 +0000","Thu, 12 Oct 2023 08:14:01 -0700","Thu, 12 Oct 2023 08:14:01 -0700","Thu, 12 Oct 2023 08:14:01 -0700",,,,15:14:01 +0000,08:14:01 -0700,08:14:01 -0700,08:14:01 -0700,,,17:06:01,17:06:01,17:06:01,17:06:01,,
TradingView <noreply@tradingview.com>,"Thu, 12 Oct 2023 15:15:04 +0000","Thu, 12 Oct 2023 08:15:05 -0700","Thu, 12 Oct 2023 08:15:05 -0700","Thu, 12 Oct 2023 08:15:05 -0700",,,,15:15:04 +0000,08:15:05 -0700,08:15:05 -0700,08:15:05 -0700,,,17:07:04,17:07:05,17:07:05,17:07:05,,
TradingView <noreply@tradingview.com>,"Wed, 26 Jul 2023 01:30:46 +0000","Tue, 25 Jul 2023 18:30:47 -0700","Tue, 25 Jul 2023 18:30:47 -0700","Tue, 25 Jul 2023 18:30:47 -0700",,,,01:30:46 +0000,18:30:47 -0700,18:30:47 -0700,18:30:47 -0700,,,03:22:46,03:22:47,03:22:47,03:22:47,,
TradingView <noreply@tradingview.com>,"Wed, 26 Jul 2023 01:31:42 +0000","Tue, 25 Jul 2023 18:31:43 -0700","Tue, 25 Jul 2023 18:31:43 -0700","Tue, 25 Jul 2023 18:31:43 -0700",,,,01:31:42 +0000,18:31:43 -0700,18:31:43 -0700,18:31:43 -0700,,,03:23:42,03:23:43,03:23:43,03:23:43,,
TradingView <noreply@tradingview.com>,"Wed, 26 Jul 2023 01:34:59 +0000","Tue, 25 Jul 2023 18:34:59 -0700","Tue, 25 Jul 2023 18:35:00 -0700","Tue, 25 Jul 2023 18:34:59 -0700",,,,01:34:59 +0000,18:34:59 -0700,18:35:00 -0700,18:34:59 -0700,,,03:26:59,03:26:59,03:27:00,03:26:59,,
TradingView <noreply@tradingview.com>,"Wed, 26 Jul 2023 01:37:40 +0000","Tue, 25 Jul 2023 18:37:40 -0700","Tue, 25 Jul 2023 18:37:40 -0700","Tue, 25 Jul 2023 18:37:40 -0700",,,,01:37:40 +0000,18:37:40 -0700,18:37:40 -0700,18:37:40 -0700,,,03:29:40,03:29:40,03:29:40,03:29:40,,
OfferZen <noreply@offerzen.com>,"Mon, 09 Oct 2023 09:46:43 +0000","Mon, 09 Oct 2023 02:46:44 -0700","Mon, 9 Oct 2023 02:46:44 -0700","Mon, 09 Oct 2023 02:46:44 -0700",,,,09:46:43 +0000,02:46:44 -0700,02:46:44 -0700,02:46:44 -0700,,,11:38:43,11:38:44,11:38:44,11:38:44,,
Amazon Web Services <password-reset-noreply@aws.amazon.com>,"Sun, 24 Jul 2022 21:21:56 +0000","Sun, 24 Jul 2022 14:21:57 -0700","Sun, 24 Jul 2022 14:21:57 -0700","Sun, 24 Jul 2022 14:21:57 -0700",,,,21:21:56 +0000,14:21:57 -0700,14:21:57 -0700,14:21:57 -0700,,,23:13:56,23:13:57,23:13:57,23:13:57,,
Amazon Web Services <password-reset-noreply@aws.amazon.com>,"Thu, 28 Jul 2022 04:45:19 +0000","Wed, 27 Jul 2022 21:45:20 -0700","Wed, 27 Jul 2022 21:45:20 -0700","Wed, 27 Jul 2022 21:45:20 -0700",,,,04:45:19 +0000,21:45:20 -0700,21:45:20 -0700,21:45:20 -0700,,,06:37:19,06:37:20,06:37:20,06:37:20,,
Flo <noreply@owhealth.com>,"Sat, 14 Jan 2023 09:39:22 +0000","Sat, 14 Jan 2023 01:39:22 -0800","Sat, 14 Jan 2023 01:39:22 -0800","Sat, 14 Jan 2023 01:39:22 -0800",,,,09:39:22 +0000,01:39:22 -0800,01:39:22 -0800,01:39:22 -0800,,,11:31:22,11:31:22,11:31:22,11:31:22,,
Filmora <noreply@best.wondershare.com>,"Tue, 01 Aug 2023 13:25:23 +0000","Tue, 01 Aug 2023 06:25:25 -0700","Tue, 1 Aug 2023 06:25:25 -0700","Tue, 01 Aug 2023 06:25:25 -0700",,,,13:25:23 +0000,06:25:25 -0700,06:25:25 -0700,06:25:25 -0700,,,15:17:23,15:17:25,15:17:25,15:17:25,,
Medium Daily Digest <noreply@medium.com>,"Fri, 05 May 2023 05:00:00 +0000","Thu, 04 May 2023 22:00:01 -0700","Thu, 4 May 2023 22:00:01 -0700","Thu, 04 May 2023 22:00:01 -0700",2023-05-05 00:10:11.629966491 +0000 ,,,05:00:00 +0000,22:00:01 -0700,22:00:01 -0700,22:00:01 -0700,,,06:52:00,06:52:01,06:52:01,06:52:01,,
OfentseInTech via LinkedIn <newsletters-noreply@linkedin.com>,"Mon, 27 Mar 2023 06:43:49 +0000","Sun, 26 Mar 2023 23:43:50 -0700","Sun, 26 Mar 2023 23:43:50 -0700","Sun, 26 Mar 2023 23:43:50 -0700",,,,06:43:49 +0000,23:43:50 -0700,23:43:50 -0700,23:43:50 -0700,,,08:35:49,08:35:50,08:35:50,08:35:50,,
OfentseInTech via LinkedIn <newsletters-noreply@linkedin.com>,"Sun, 26 Mar 2023 06:44:04 +0000","Sat, 25 Mar 2023 23:44:07 -0700","Sat, 25 Mar 2023 23:44:07 -0700","Sat, 25 Mar 2023 23:44:07 -0700",,,,06:44:04 +0000,23:44:07 -0700,23:44:07 -0700,23:44:07 -0700,,,08:36:04,08:36:07,08:36:07,08:36:07,,
"""Wondershare"" <noreply@mail-service.wondershare.com>","Sat, 14 Jan 2023 10:03:27 +0800","Fri, 13 Jan 2023 18:03:28 -0800","Fri, 13 Jan 2023 18:03:29 -0800","Fri, 13 Jan 2023 18:03:28 -0800","Sat, 14 Jan 2023 10:03:27 +0800",,,10:03:27 +0800,18:03:28 -0800,18:03:29 -0800,18:03:28 -0800,10:03:27 +0800,,03:55:27,03:55:28,03:55:29,03:55:28,03:55:27,
"""Wondershare"" <noreply@mail-service.wondershare.com>","Wed, 08 Feb 2023 20:09:37 +0800","Wed, 08 Feb 2023 04:09:38 -0800","Wed, 8 Feb 2023 04:09:39 -0800","Wed, 08 Feb 2023 04:09:38 -0800","Wed, 08 Feb 2023 20:09:37 +0800",,,20:09:37 +0800,04:09:38 -0800,04:09:39 -0800,04:09:38 -0800,20:09:37 +0800,,14:01:37,14:01:38,14:01:39,14:01:38,14:01:37,
Team Clarivate <noreply@webofscience.com>,"Sat, 8 Apr 2023 23:42:00 +0000","Sat, 08 Apr 2023 16:42:01 -0700","Sat, 8 Apr 2023 16:42:01 -0700","Sat, 08 Apr 2023 16:42:01 -0700",,,,23:42:00 +0000,16:42:01 -0700,16:42:01 -0700,16:42:01 -0700,,,01:34:00,01:34:01,01:34:01,01:34:01,,
Avinash Singh <noreply@github.com>,"Wed, 27 Apr 2022 10:36:38 -0700","Wed, 27 Apr 2022 10:36:39 -0700","Wed, 27 Apr 2022 10:36:39 -0700","Wed, 27 Apr 2022 10:36:39 -0700","Wed, 27 Apr 2022 10:36:38 -0700",,,10:36:38 -0700,10:36:39 -0700,10:36:39 -0700,10:36:39 -0700,10:36:38 -0700,,19:28:38,19:28:39,19:28:39,19:28:39,19:28:38,
Azasakhe Gogo via LinkedIn <messaging-digest-noreply@linkedin.com>,"Fri, 3 Feb 2023 18:52:22 +0000","Fri, 03 Feb 2023 10:52:24 -0800","Fri, 3 Feb 2023 10:52:25 -0800","Fri, 03 Feb 2023 10:52:24 -0800",,,,18:52:22 +0000,10:52:24 -0800,10:52:25 -0800,10:52:24 -0800,,,20:44:22,20:44:24,20:44:25,20:44:24,,
"Azeez Olanrewaju Shoderu via LinkedIn
 <messaging-digest-noreply@linkedin.com>","Tue, 9 May 2023 09:32:00 +0000","Tue, 09 May 2023 02:32:02 -0700","Tue, 9 May 2023 02:32:02 -0700","Tue, 09 May 2023 02:32:02 -0700",,,,09:32:00 +0000,02:32:02 -0700,02:32:02 -0700,02:32:02 -0700,,,11:24:00,11:24:02,11:24:02,11:24:02,,
System Talentlink <noreply@bbd.co.za>,"Thu, 3 Nov 2022 16:55:56 +0000","Thu, 03 Nov 2022 09:55:57 -0700","Thu, 3 Nov 2022 09:55:57 -0700","Thu, 03 Nov 2022 09:55:57 -0700",,,,16:55:56 +0000,09:55:57 -0700,09:55:57 -0700,09:55:57 -0700,,,18:47:56,18:47:57,18:47:57,18:47:57,,
The Student World <noreply@thestudent.world>,"Tue, 8 Mar 2022 04:46:24 +0000","Mon, 07 Mar 2022 20:46:25 -0800","Mon, 7 Mar 2022 20:46:25 -0800","Mon, 07 Mar 2022 20:46:25 -0800",,,,04:46:24 +0000,20:46:25 -0800,20:46:25 -0800,20:46:25 -0800,,,06:38:24,06:38:25,06:38:25,06:38:25,,
Virgin Active <noreply@virginactive.co.za>,"Mon, 25 Sep 2023 09:07:14 +0200","Mon, 25 Sep 2023 00:07:14 -0700","Mon, 25 Sep 2023 00:07:14 -0700","Mon, 25 Sep 2023 00:07:14 -0700",,,,09:07:14 +0200,00:07:14 -0700,00:07:14 -0700,00:07:14 -0700,,,08:59:14,08:59:14,08:59:14,08:59:14,,
"""Wondershare"" <noreply@mail-service.wondershare.com>","Thu, 19 Jan 2023 19:27:35 +0800","Thu, 19 Jan 2023 03:27:36 -0800","Thu, 19 Jan 2023 03:27:37 -0800","Thu, 19 Jan 2023 03:27:36 -0800","Thu, 19 Jan 2023 19:27:35 +0800",,,19:27:35 +0800,03:27:36 -0800,03:27:37 -0800,03:27:36 -0800,19:27:35 +0800,,13:19:35,13:19:36,13:19:37,13:19:36,13:19:35,
LinkedIn <career-interests-noreply@linkedin.com>,"Sat, 10 Dec 2022 17:25:07 +0000","Sat, 10 Dec 2022 09:25:07 -0800","Sat, 10 Dec 2022 09:25:08 -0800","Sat, 10 Dec 2022 09:25:07 -0800",,,,17:25:07 +0000,09:25:07 -0800,09:25:08 -0800,09:25:07 -0800,,,19:17:07,19:17:07,19:17:08,19:17:07,,
Business Insider via LinkedIn <newsletters-noreply@linkedin.com>,"Wed, 19 Oct 2022 11:18:33 +0000","Wed, 19 Oct 2022 04:18:35 -0700","Wed, 19 Oct 2022 04:18:35 -0700","Wed, 19 Oct 2022 04:18:35 -0700",,,,11:18:33 +0000,04:18:35 -0700,04:18:35 -0700,04:18:35 -0700,,,13:10:33,13:10:35,13:10:35,13:10:35,,
GitHub via LinkedIn <newsletters-noreply@linkedin.com>,"Thu, 17 Nov 2022 21:08:08 +0000","Thu, 17 Nov 2022 13:08:11 -0800","Thu, 17 Nov 2022 13:08:12 -0800","Thu, 17 Nov 2022 13:08:11 -0800",,,,21:08:08 +0000,13:08:11 -0800,13:08:12 -0800,13:08:11 -0800,,,23:00:08,23:00:11,23:00:12,23:00:11,,
GitHub <noreply@github.com>,"Sun, 12 Sep 2021 10:00:58 +0000","Sun, 12 Sep 2021 03:00:59 -0700","Sun, 12 Sep 2021 03:00:59 -0700","Sun, 12 Sep 2021 03:00:59 -0700",2021-09-12 10:00:58.084748107 +0000 ,,"Sun, 12 Sep 2021 03:00:57 -0700",10:00:58 +0000,03:00:59 -0700,03:00:59 -0700,03:00:59 -0700,,,11:52:58,11:52:59,11:52:59,11:52:59,,
GitHub <noreply@github.com>,"Mon, 21 Nov 2022 09:19:31 -0800","Mon, 21 Nov 2022 09:19:31 -0800","Mon, 21 Nov 2022 09:19:31 -0800","Mon, 21 Nov 2022 09:19:31 -0800","Mon, 21 Nov 2022 09:19:31 -0800",,,09:19:31 -0800,09:19:31 -0800,09:19:31 -0800,09:19:31 -0800,09:19:31 -0800,,19:11:31,19:11:31,19:11:31,19:11:31,19:11:31,
GitHub <noreply@github.com>,"Mon, 21 Nov 2022 12:34:49 -0800","Mon, 21 Nov 2022 12:34:49 -0800","Mon, 21 Nov 2022 12:34:50 -0800","Mon, 21 Nov 2022 12:34:49 -0800","Mon, 21 Nov 2022 12:34:49 -0800",,,12:34:49 -0800,12:34:49 -0800,12:34:50 -0800,12:34:49 -0800,12:34:49 -0800,,22:26:49,22:26:49,22:26:50,22:26:49,22:26:49,
